ETA,actor_loss,bacth_reward,critic_loss,critic_q,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
18035.42375421524,2.024392604827881,-0.6875,0.09690406173467636,-1.9873085021972656,-2.0382368564605713,114.0,10.0,-10.0,0.0,5.4819892976948825,1140,1140.0,174.5984332561493
19746.113002300262,1.8389290571212769,-0.609375,0.1020583063364029,-1.8905096054077148,-1.9588288068771362,115.0,10.0,-10.0,0.0,5.006554960385551,1150,1150.0,176.59749913215637
18711.98572397232,2.3135366439819336,-0.84375,0.07244270294904709,-2.2951102256774902,-2.4363813400268555,116.0,10.0,-10.0,0.0,5.282710315098262,1160,1160.0,178.49210238456726
19376.832642555237,2.1378986835479736,-0.75,0.0516144223511219,-2.3407328128814697,-2.3803114891052246,117.0,10.0,-10.0,0.0,5.100936867407753,1170,1170.0,180.45399236679077
18825.20612168312,2.4489996433258057,-0.734375,0.0705932155251503,-2.5832958221435547,-2.508253335952759,118.0,10.0,-10.0,0.0,5.249876116159297,1180,1180.0,182.36026787757874
17641.312235355377,2.024538278579712,-0.65625,0.0639764815568924,-2.2533490657806396,-2.2455554008483887,119.0,10.0,-10.0,0.0,5.6016241128566655,1190,1190.0,184.14678406715393
18722.334530115128,2.3181753158569336,-0.765625,0.05419158563017845,-2.4930949211120605,-2.530289888381958,120.0,10.0,-10.0,0.0,5.277653801189311,1200,1200.0,186.04357481002808
19284.293870925903,2.4809153079986572,-0.71875,0.0416378490626812,-2.5739424228668213,-2.594257116317749,121.0,10.0,-10.0,0.0,5.123340302802401,1210,1210.0,187.99687552452087
20533.094347000122,2.251206398010254,-0.71875,0.03429235517978668,-2.655041456222534,-2.605178117752075,122.0,10.0,-4.0,1.0,4.81125729665939,1220,1220.0,190.07676935195923
18568.490925312042,2.508861780166626,-0.75,0.06473279744386673,-2.5910675525665283,-2.653704881668091,123.0,10.0,-8.0,0.0,5.319764562307316,1230,1230.0,191.95812129974365
21794.048450946808,2.362581253051758,-0.734375,0.05044611915946007,-2.677338123321533,-2.6264562606811523,124.0,10.0,-4.0,1.0,4.5319712040793,1240,1240.0,194.16609072685242
19540.307719230652,2.4244606494903564,-0.765625,0.03989000245928764,-2.7237863540649414,-2.6824159622192383,125.0,10.0,-10.0,0.0,5.054168103136116,1250,1250.0,196.14603900909424
21386.995762586594,2.449373960494995,-0.765625,0.06432681530714035,-2.740751266479492,-2.6729795932769775,126.0,10.0,-5.0,1.0,4.617291792461502,1260,1260.0,198.31324768066406
18039.203794956207,2.444563627243042,-0.65625,0.04965867102146149,-2.7606732845306396,-2.7123515605926514,127.0,10.0,-10.0,0.0,5.473634042961911,1270,1270.0,200.1415729522705
18875.98433947563,2.317207098007202,-0.609375,0.021640127524733543,-2.507761001586914,-2.5157370567321777,128.0,10.0,-5.0,1.0,5.230455706276703,1280,1280.0,202.05497217178345
17966.98991394043,2.2492599487304688,-0.625,0.04098469763994217,-2.3875844478607178,-2.385042190551758,129.0,10.0,-5.0,1.0,5.494520811379986,1290,1290.0,203.87643957138062
19200.54170036316,2.003484010696411,-0.59375,0.0328945592045784,-2.2207319736480713,-2.1997568607330322,130.0,10.0,-7.0,0.0,5.1410007873961705,1300,1300.0,205.82297277450562
19701.977133750916,2.2504377365112305,-0.625,0.026922769844532013,-2.3961760997772217,-2.418492078781128,131.0,10.0,-5.0,1.0,5.009649505222486,1310,1310.0,207.82071018218994
18322.48938345909,2.1552884578704834,-0.578125,0.048455603420734406,-2.468587636947632,-2.3784236907958984,132.0,10.0,-6.0,0.0,5.386276828141809,1320,1320.0,209.67868638038635
21299.303524017334,2.402926445007324,-0.71875,0.033920496702194214,-2.5930724143981934,-2.688063621520996,133.0,10.0,-8.0,1.0,4.633015341967747,1330,1330.0,211.83843803405762
18746.19998216629,2.2319912910461426,-0.796875,0.04582088068127632,-2.5020251274108887,-2.580789089202881,134.0,10.0,-2.0,1.0,5.263466734264392,1340,1340.0,213.73997831344604
