ETA,actor_loss,bacth_reward,critic_loss,critic_q1,critic_q2,critic_q_min,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
12868.352542877197,1.9905531406402588,-0.359375,0.014217913150787354,-1.8519973754882812,-1.8631283044815063,-1.879928708076477,-1.8536473512649536,3073.0,10.0,-3.0,1.0,5.383750543759185,30730,30730.0,455.71562600135803
13810.962897062302,2.1992743015289307,-0.421875,0.03239887207746506,-2.061570644378662,-2.056835174560547,-2.084676504135132,-2.0698964595794678,3074.0,10.0,-5.0,1.0,5.015580775670194,30740,30740.0,457.71076464653015
13958.240508079529,2.1716203689575195,-0.453125,0.030018934980034828,-2.1006975173950195,-2.076932907104492,-2.1262104511260986,-2.104666233062744,3075.0,10.0,-3.0,1.0,4.961943445515918,30750,30750.0,459.72745990753174
14931.582164764404,1.9853270053863525,-0.375,0.04345766082406044,-1.8866480588912964,-1.865211009979248,-1.9117332696914673,-1.8853987455368042,3076.0,10.0,-7.0,1.0,4.637820643241436,30760,30760.0,461.8852388858795
14543.966740608215,2.061307191848755,-0.359375,0.047795701771974564,-1.9473931789398193,-1.9353868961334229,-1.9878151416778564,-1.9407737255096436,3077.0,10.0,-5.0,1.0,4.760736959517033,30770,30770.0,463.98711037635803
13555.264977931976,2.223616600036621,-0.4375,0.035872191190719604,-2.038567066192627,-2.0689353942871094,-2.0842792987823486,-2.0016651153564453,3078.0,10.0,-5.0,1.0,5.107240626627861,30780,30780.0,465.94645380973816
13890.479990005493,2.0141823291778564,-0.375,0.019397150725126266,-1.8574199676513672,-1.8364096879959106,-1.8872894048690796,-1.8336405754089355,3079.0,10.0,-3.0,1.0,4.983269120275564,30790,30790.0,467.9547293186188
14882.506995677948,2.4716482162475586,-0.484375,0.014852771535515785,-2.305093288421631,-2.30998158454895,-2.3387868404388428,-2.282625436782837,3080.0,10.0,-5.0,1.0,4.650426169468584,30800,30800.0,470.10649943351746
15086.499633789062,2.064953565597534,-0.453125,0.021022828295826912,-1.9353305101394653,-1.947243571281433,-1.9758881330490112,-1.9543118476867676,3081.0,10.0,-4.0,1.0,4.586882423343155,30810,30810.0,525.758448600769
14285.755854129791,2.367901563644409,-0.53125,0.025580385699868202,-2.198225736618042,-2.2312347888946533,-2.2539215087890625,-2.2245473861694336,3082.0,10.0,-2.0,1.0,4.84328590705953,30820,30820.0,527.8246169090271
13670.135075569153,1.9996531009674072,-0.390625,0.00899620819836855,-1.8372883796691895,-1.8403682708740234,-1.8634203672409058,-1.8405661582946777,3083.0,10.0,-2.0,1.0,5.060666893016761,30830,30830.0,529.8019926548004
14026.992411136627,2.120434045791626,-0.40625,0.03414463251829147,-1.9986984729766846,-1.9837515354156494,-2.026887893676758,-1.9489142894744873,3084.0,10.0,-4.0,1.0,4.931206774239286,30840,30840.0,531.8312609195709
13558.28376865387,1.6781892776489258,-0.28125,0.042669035494327545,-1.5763741731643677,-1.5771467685699463,-1.6051230430603027,-1.5561000108718872,3085.0,10.0,-2.0,1.0,5.100940589537943,30850,30850.0,533.7930686473846
14495.38779258728,1.6805192232131958,-0.296875,0.05585372447967529,-1.5440722703933716,-1.564610242843628,-1.5865014791488647,-1.5847982168197632,3086.0,10.0,-10.0,0.0,4.770482928049862,30860,30860.0,535.8906440734863
14523.72481060028,1.9355665445327759,-0.40625,0.019113052636384964,-1.8411815166473389,-1.8180510997772217,-1.8639556169509888,-1.8336464166641235,3087.0,10.0,-4.0,1.0,4.760486782945481,30870,30870.0,537.9926023483276
13934.567767858505,1.9964338541030884,-0.375,0.022293610498309135,-1.8492789268493652,-1.83329176902771,-1.8686277866363525,-1.8679147958755493,3088.0,10.0,-5.0,1.0,4.961043726053374,30880,30880.0,540.0096507072449
13398.412170410156,1.7158156633377075,-0.328125,0.041123900562524796,-1.605616569519043,-1.6168174743652344,-1.635251522064209,-1.5892839431762695,3089.0,10.0,-4.0,1.0,5.15882024831634,30890,30890.0,541.9494178295135
13421.072417259216,2.3160805702209473,-0.46875,0.030435044318437576,-2.190185546875,-2.2052788734436035,-2.231797695159912,-2.193061351776123,3090.0,10.0,-5.0,1.0,5.149364957685944,30900,30900.0,543.892763376236
13459.844415187836,2.3052852153778076,-0.46875,0.032987721264362335,-2.173555612564087,-2.162385940551758,-2.2060163021087646,-2.1718921661376953,3091.0,10.0,-3.0,1.0,5.133788910816001,30910,30910.0,600.1713964939117
14089.301080942154,2.1468377113342285,-0.4375,0.06581057608127594,-2.0576086044311523,-2.022186756134033,-2.088165521621704,-2.0448949337005615,3092.0,10.0,-10.0,0.0,4.903720887436664,30920,30920.0,602.2277209758759
13915.967688560486,2.2602365016937256,-0.4375,0.021289728581905365,-2.0943164825439453,-2.1274874210357666,-2.143043041229248,-2.118892192840576,3093.0,10.0,-10.0,0.0,4.9640816611543785,30930,30930.0,604.2436647415161
14533.585108041763,2.346574068069458,-0.484375,0.057799920439720154,-2.150346517562866,-2.135329246520996,-2.183619976043701,-2.148603677749634,3094.0,10.0,-4.0,1.0,4.752440604746726,30940,30940.0,606.3492302894592
14730.219027042389,2.0590014457702637,-0.4375,0.05567638948559761,-1.9462409019470215,-1.959029197692871,-2.0005407333374023,-1.957192063331604,3095.0,10.0,-3.0,1.0,4.688321325923029,30950,30950.0,608.4835531711578
13411.438834667206,2.1621017456054688,-0.453125,0.06627145409584045,-1.978649377822876,-1.9956386089324951,-2.02469801902771,-1.9474602937698364,3096.0,10.0,-8.0,1.0,5.14859000970968,30960,30960.0,610.4273016452789
15064.626222610474,1.7453932762145996,-0.3125,0.03403136879205704,-1.6563301086425781,-1.6438195705413818,-1.6734148263931274,-1.651653528213501,3097.0,10.0,-6.0,1.0,4.582921539492163,30970,30970.0,612.6107025146484
15811.765353441238,1.9700857400894165,-0.46875,0.0377180352807045,-1.8331804275512695,-1.8142067193984985,-1.8570590019226074,-1.8249760866165161,3098.0,10.0,-3.0,1.0,4.365736428347418,30980,30980.0,614.9026508331299
13979.803940296173,1.8435924053192139,-0.34375,0.0720326378941536,-1.709261178970337,-1.7077503204345703,-1.7400529384613037,-1.7146098613739014,3099.0,10.0,-4.0,1.0,4.937122172439977,30990,30990.0,616.9296019077301
14501.803478240967,2.071430206298828,-0.421875,0.0452234148979187,-1.9352649450302124,-1.9615092277526855,-1.980599284172058,-1.8962984085083008,3100.0,10.0,-5.0,1.0,4.758718465847721,31000,31000.0,619.0329077243805
