ETA,actor_loss,bacth_reward,critic_loss,critic_q1,critic_q2,critic_q_avg,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
14521.747236251831,1.0620839595794678,-0.375,0.020734908059239388,-0.9903171062469482,-1.0091571807861328,-0.9997370839118958,-0.9947255253791809,2041.0,10.0,-10.0,0.0,5.481434066094194,20410,20410.0,195.82088589668274
15236.566185951233,0.7311702966690063,-0.296875,0.008471302688121796,-0.68674635887146,-0.673101007938385,-0.6799235939979553,-0.6857587099075317,2042.0,10.0,-3.0,1.0,5.2236179089607075,20420,20420.0,197.73642706871033
14450.103759765625,1.077417254447937,-0.421875,0.009977931156754494,-0.9869633316993713,-0.993146538734436,-0.9900549054145813,-0.9826396703720093,2043.0,10.0,-5.0,1.0,5.507226890756303,20430,20430.0,199.55342388153076
14992.500486850739,1.174660563468933,-0.453125,0.011238438077270985,-1.090914011001587,-1.0972325801849365,-1.0940732955932617,-1.0938066244125366,2044.0,10.0,-4.0,1.0,5.307320154485727,20440,20440.0,201.4387948513031
15379.056818962097,0.7857643961906433,-0.28125,0.003349360078573227,-0.7045090198516846,-0.7156404256820679,-0.710074782371521,-0.7052528262138367,2045.0,10.0,-4.0,1.0,5.173269137149163,20450,20450.0,203.37326335906982
16914.73623394966,1.0258876085281372,-0.359375,0.009466673247516155,-0.9853339195251465,-1.0005595684051514,-0.9929468035697937,-0.9945623874664307,2046.0,10.0,-6.0,1.0,4.702999733471146,20460,20460.0,205.50673007965088
14527.11576461792,1.2256778478622437,-0.46875,0.019258815795183182,-1.1533780097961426,-1.1404136419296265,-1.1468957662582397,-1.127020001411438,2047.0,10.0,-2.0,1.0,5.475278182454272,20470,20470.0,207.3344807624817
15654.351490974426,0.8349931836128235,-0.328125,0.007159244269132614,-0.7906302213668823,-0.7981858849525452,-0.7944080233573914,-0.7834106087684631,2048.0,10.0,-1.0,1.0,5.080376535933367,20480,20480.0,209.30410933494568
15284.024047851562,1.2565709352493286,-0.40625,0.010296858847141266,-1.2014113664627075,-1.1871497631072998,-1.1942806243896484,-1.1836574077606201,2049.0,10.0,-7.0,1.0,5.202818299096953,20490,20490.0,211.2277913093567
14707.609020233154,0.9634517431259155,-0.34375,0.005127810873091221,-0.9262902736663818,-0.9154741764068604,-0.9208822250366211,-0.9134770035743713,2050.0,10.0,-5.0,1.0,5.406045257976239,20500,20500.0,213.0789122581482
15217.314326763153,0.895236611366272,-0.328125,0.04044773057103157,-0.807891309261322,-0.7973131537437439,-0.8026023507118225,-0.8067815899848938,2051.0,10.0,-7.0,1.0,5.224312141609701,20510,20510.0,262.5706584453583
15525.413367271423,1.1265721321105957,-0.40625,0.049414172768592834,-1.0869134664535522,-1.0697433948516846,-1.0783284902572632,-1.1012120246887207,2052.0,10.0,-5.0,1.0,5.119992500010986,20520,20520.0,264.52500891685486
14846.113842010498,0.8412432670593262,-0.296875,0.03393696993589401,-0.7766509056091309,-0.7785839438438416,-0.7776174545288086,-0.8021679520606995,2053.0,10.0,-5.0,1.0,5.353589555206901,20530,20530.0,266.39408826828003
15920.003033638,0.7931219935417175,-0.3125,0.009156796149909496,-0.7047666907310486,-0.7148404121398926,-0.7098035216331482,-0.7092479467391968,2054.0,10.0,-6.0,1.0,4.9918332196347395,20540,20540.0,268.3985514640808
13562.535788536072,1.2661181688308716,-0.46875,0.01139297615736723,-1.166293978691101,-1.1806408166885376,-1.1734672784805298,-1.1663613319396973,2055.0,10.0,-8.0,1.0,5.8587863832340785,20550,20550.0,270.1067006587982
14648.432739973068,1.2020474672317505,-0.390625,0.01153450459241867,-1.144177794456482,-1.1110265254974365,-1.1276021003723145,-1.1358323097229004,2056.0,10.0,-2.0,1.0,5.423788429133073,20560,20560.0,271.9596676826477
14537.985317230225,0.9230490326881409,-0.3125,0.03589139133691788,-0.8344057202339172,-0.8587895035743713,-0.8465975522994995,-0.8394436836242676,2057.0,10.0,-4.0,1.0,5.464305972702337,20570,20570.0,273.79097509384155
14838.526040792465,0.8229217529296875,-0.359375,0.030355634167790413,-0.7180148959159851,-0.7316392660140991,-0.7248270511627197,-0.7196123003959656,2058.0,10.0,-4.0,1.0,5.352957549937215,20580,20580.0,275.66029953956604
14665.074674129486,1.0568903684616089,-0.4375,0.02040059119462967,-1.016059398651123,-1.0129191875457764,-1.0144892930984497,-1.0213068723678589,2059.0,10.0,-6.0,1.0,5.415587834687541,20590,20590.0,277.5080506801605
14057.7736287117,1.2768449783325195,-0.46875,0.025192230939865112,-1.1519979238510132,-1.1522109508514404,-1.1521044969558716,-1.1624258756637573,2060.0,10.0,-4.0,1.0,5.648831891688199,20600,20600.0,279.27959513664246
14070.789914131165,0.6404891610145569,-0.21875,0.008701303973793983,-0.5464602708816528,-0.5281413197517395,-0.5373007655143738,-0.5234676599502563,2061.0,10.0,-5.0,1.0,5.642895706960937,20610,20610.0,330.79943013191223
15136.260787248611,0.9027943015098572,-0.3125,0.022098608314990997,-0.8542600274085999,-0.8259958028793335,-0.8401279449462891,-0.8324630260467529,2062.0,10.0,-1.0,1.0,5.245020624042187,20620,20620.0,332.70727586746216
14385.361490249634,1.1973509788513184,-0.421875,0.02489781752228737,-1.0602309703826904,-1.0622304677963257,-1.0612307786941528,-1.0708941221237183,2063.0,10.0,-3.0,1.0,5.518109506932001,20630,20630.0,334.52071619033813
15789.774361371994,0.9930333495140076,-0.359375,0.026704994961619377,-0.9285451173782349,-0.926374077796936,-0.9274596571922302,-0.8899709582328796,2064.0,10.0,-2.0,1.0,5.026670944340426,20640,20640.0,336.51164054870605
14656.254699707031,1.067020058631897,-0.390625,0.010980848222970963,-0.9529632925987244,-0.9476926326751709,-0.9503279328346252,-0.936722993850708,2065.0,10.0,-4.0,0.0,5.414753061134121,20650,20650.0,338.3595950603485
15923.685067892075,1.3046385049819946,-0.5,0.06724829971790314,-1.2338194847106934,-1.207239031791687,-1.2205291986465454,-1.2147917747497559,2066.0,10.0,-3.0,1.0,4.983143013798884,20660,20660.0,340.3753273487091
14916.893197059631,0.8332743048667908,-0.359375,0.0186164453625679,-0.7643269300460815,-0.7578195333480835,-0.7610731720924377,-0.7639240622520447,2067.0,10.0,-7.0,0.0,5.318801908137228,20670,20670.0,342.25688576698303
14717.648136138916,1.061432123184204,-0.390625,0.03524470329284668,-0.9503650665283203,-0.9319641590118408,-0.9411646723747253,-0.9500260949134827,2068.0,10.0,-4.0,1.0,5.390127503130519,20680,20680.0,344.11355328559875
15159.215154647827,1.0786519050598145,-0.359375,0.0147863095626235,-0.9693360328674316,-0.9852081537246704,-0.977272093296051,-0.9857894778251648,2069.0,10.0,-4.0,1.0,5.23246086230793,20690,20690.0,346.0258400440216
15866.074884653091,0.7518535256385803,-0.28125,0.05556855723261833,-0.6973950266838074,-0.6772949695587158,-0.687345027923584,-0.6603580713272095,2070.0,10.0,-4.0,1.0,4.998715849798165,20700,20700.0,348.02763056755066
14768.921296596527,1.118475317955017,-0.359375,0.008954234421253204,-0.9944169521331787,-0.9916861653327942,-0.9930515289306641,-0.9953429102897644,2071.0,10.0,-1.0,1.0,5.36938334272758,20710,20710.0,398.24636054039
17734.49985408783,1.0760836601257324,-0.4375,0.03213851898908615,-0.9988877177238464,-0.9756295084953308,-0.9872586727142334,-1.0128158330917358,2072.0,10.0,-2.0,1.0,4.470946497074375,20720,20720.0,400.48474645614624
16207.974662780762,0.9422315955162048,-0.421875,0.008597247302532196,-0.9062092900276184,-0.9031721353530884,-0.904690682888031,-0.8971002697944641,2073.0,10.0,-5.0,1.0,4.891419295098906,20730,20730.0,402.5303213596344
15051.716849565506,0.8531903028488159,-0.359375,0.02371733821928501,-0.7778017520904541,-0.7923884987831116,-0.7850950956344604,-0.8030397891998291,2074.0,10.0,-6.0,1.0,5.266508850270344,20740,20740.0,404.4303297996521
14144.23142337799,1.234272837638855,-0.421875,0.02643369324505329,-1.1551954746246338,-1.1480838060379028,-1.1516395807266235,-1.1493675708770752,2075.0,10.0,-7.0,0.0,5.603697905352199,20750,20750.0,406.2160532474518
14307.181978225708,1.3696658611297607,-0.484375,0.028185861185193062,-1.2758829593658447,-1.2763229608535767,-1.2761030197143555,-1.2826743125915527,2076.0,10.0,-5.0,1.0,5.539176066999891,20760,20760.0,408.0284547805786
14669.300692558289,1.1656965017318726,-0.46875,0.007202867418527603,-1.0460199117660522,-1.0528863668441772,-1.0494532585144043,-1.0588246583938599,2077.0,10.0,-6.0,1.0,5.401757156712884,20770,20770.0,409.88160252571106
14351.504464387894,0.7971664667129517,-0.25,0.04500254616141319,-0.6976633071899414,-0.6996774673461914,-0.6986704468727112,-0.7065631151199341,2078.0,10.0,-3.0,1.0,5.520675563778201,20780,20780.0,411.69426941871643
14472.18621301651,0.8247784376144409,-0.25,0.007815038785338402,-0.7541581988334656,-0.7509413361549377,-0.7525497674942017,-0.7529974579811096,2079.0,10.0,-5.0,1.0,5.47394836094275,20790,20790.0,413.52227878570557
15728.317148923874,0.8155572414398193,-0.34375,0.02072523534297943,-0.7504468560218811,-0.734454870223999,-0.7424508333206177,-0.7624915838241577,2080.0,10.0,-4.0,1.0,5.036139546907568,20800,20800.0,415.5093789100647
14251.671695709229,0.7713413834571838,-0.390625,0.011833073571324348,-0.7084227204322815,-0.7012507915496826,-0.7048367857933044,-0.6910127401351929,2081.0,10.0,-3.0,1.0,5.55724280568748,20810,20810.0,465.46093797683716
23979.86196732521,1.1284265518188477,-0.4375,0.0370730459690094,-0.993545651435852,-1.0094255208969116,-1.0014855861663818,-1.019816279411316,2082.0,10.0,-5.0,1.0,3.3023542882733743,20820,20820.0,468.4904854297638
15302.058901786804,0.721169114112854,-0.28125,0.04595772922039032,-0.6327855587005615,-0.6168427467346191,-0.6248142123222351,-0.641460120677948,2083.0,10.0,-4.0,1.0,5.174467077156149,20830,20830.0,470.42544531822205
18499.060910224915,0.9920326471328735,-0.359375,0.006312045268714428,-0.8661499619483948,-0.8833472728729248,-0.8747486472129822,-0.8749319911003113,2084.0,10.0,-2.0,1.0,4.279676702736876,20840,20840.0,472.76329231262207
17577.532671928406,1.313104271888733,-0.453125,0.01604642905294895,-1.2043650150299072,-1.2135918140411377,-1.208978533744812,-1.2081835269927979,2085.0,10.0,-4.0,1.0,4.503476197567805,20850,20850.0,474.9851756095886
15763.848303556442,0.9944286346435547,-0.375,0.022329462692141533,-0.9208568334579468,-0.9424074292182922,-0.9316321611404419,-0.9326915740966797,2086.0,10.0,-5.0,0.0,5.020982089896359,20860,20860.0,476.985552072525
18538.13344144821,1.1099967956542969,-0.421875,0.02191741392016411,-0.9868491291999817,-0.9685003161430359,-0.9776747226715088,-0.9884753227233887,2087.0,10.0,-4.0,1.0,4.269038209804662,20870,20870.0,479.3293135166168
15061.920709133148,1.2187309265136719,-0.46875,0.021605506539344788,-1.093358039855957,-1.1141715049743652,-1.1037648916244507,-1.1147124767303467,2088.0,10.0,-2.0,1.0,5.2536460341354525,20880,20880.0,481.2360508441925
14211.23853302002,0.7460579872131348,-0.34375,0.021688811480998993,-0.6587345600128174,-0.6611098051071167,-0.659922182559967,-0.6869075298309326,2089.0,10.0,-7.0,1.0,5.567424670000685,20890,20890.0,483.03348541259766
14976.736777067184,0.7066881656646729,-0.296875,0.014548245817422867,-0.6186564564704895,-0.6127424240112305,-0.6156994700431824,-0.6218236088752747,2090.0,10.0,-2.0,1.0,5.282192054088547,20900,20900.0,484.9281883239746
17002.581872940063,0.6362601518630981,-0.265625,0.017508437857031822,-0.5659320950508118,-0.5747660398483276,-0.5703490972518921,-0.5416805744171143,2091.0,10.0,-2.0,1.0,4.652234618901566,20910,20910.0,537.7579658031464
14113.006170988083,0.975310742855072,-0.4375,0.029257001355290413,-0.8963236808776855,-0.9000766277313232,-0.8982001543045044,-0.8847264051437378,2092.0,10.0,-7.0,1.0,5.604050550377017,20920,20920.0,539.5592579841614
14595.299938201904,1.0409432649612427,-0.390625,0.028344452381134033,-0.9275670051574707,-0.9072186946868896,-0.9173928499221802,-0.9169058799743652,2093.0,10.0,-3.0,1.0,5.418182588561617,20930,20930.0,541.4060528278351
15455.631868839264,0.7579183578491211,-0.375,0.05137909948825836,-0.7379267811775208,-0.7179762721061707,-0.7279515266418457,-0.7481880784034729,2094.0,10.0,-10.0,0.0,5.115934480777605,20940,20940.0,543.3619117736816
14071.443254947662,0.6360300779342651,-0.265625,0.04532788321375847,-0.6064050793647766,-0.6019253730773926,-0.6041651964187622,-0.6187413334846497,2095.0,10.0,-6.0,1.0,5.618471294492248,20950,20950.0,545.1429347991943
14551.326477527618,1.1317335367202759,-0.421875,0.03183070197701454,-1.031635046005249,-1.0391230583190918,-1.0353790521621704,-1.0672876834869385,2096.0,10.0,-7.0,1.0,5.432494427369291,20960,20960.0,546.9913835525513
13716.209327697754,1.0278043746948242,-0.359375,0.015041781589388847,-0.9435825347900391,-0.9536044597625732,-0.9485934972763062,-0.968112587928772,2097.0,10.0,-8.0,1.0,5.762525061526365,20970,20970.0,548.7279281616211
15826.321334600449,0.989436149597168,-0.390625,0.009250672534108162,-0.9127739667892456,-0.9134044051170349,-0.9130891561508179,-0.9104979634284973,2098.0,10.0,-3.0,0.0,4.993579893213712,20980,20980.0,550.7317109107971
14948.835346698761,0.9891986846923828,-0.390625,0.01523158885538578,-0.864982008934021,-0.8617014288902283,-0.8633418083190918,-0.8777942061424255,2099.0,10.0,-8.0,0.0,5.286030527953501,20990,20990.0,552.6247270107269
14469.73816561699,0.656440794467926,-0.25,0.005329110659658909,-0.5930267572402954,-0.5719728469848633,-0.5824998021125793,-0.5852153301239014,2100.0,10.0,-4.0,1.0,5.460361417440411,21000,21000.0,554.4573142528534
